CF	ID	Name
C20H22N7O6	C00445	"5,10-Methenyltetrahydrofolate"
C11H20N2O6	C00449	"N6-(L-1,3-Dicarboxypropyl)-L-lysine"
C11H15N2O8P	C00455	Nicotinamide D-ribonucleotide
C9H16N3O13P3	C00458	dCTP
C10H17N2O14P3	C00459	dTTP
C9H15N2O14P3	C00460	dUTP
C11H12O5	C00482	Sinapate
C7H16NO3	C00487	Carnitine
CH3NO	C00488	Formamide
C19H37N5O7	C00494	Sisomicin
C17H16O7	C00495	Sulochrin
C4H8N4O4	C00499	Allantoate
C19H19N7O6	C00504	Folate
C3H7NO5S	C00506	L-Cysteate
C28H40N7O17P3S	C00512	Benzoyl-CoA
C12H21N3O13P2	C00513	CDP-glycerol
C2H7NO2S	C00519	Hypotaurine
C9H12N2O5	C00526	Deoxyuridine
C36H64N8O17	C00528	Glycopeptide
C8H11NO3	C00547	L-Noradrenaline
C23H34N3O10P	C00563	Phosphoramidon
C27H42N7O22P3S	C00566	(3S)-Citryl-CoA
C11H20N4O11P2	C00570	CDP-ethanolamine
C6H13N	C00571	Cyclohexylamine
C5H12NO	C00576	Betaine aldehyde
C8H17NOS2	C00579	Dihydrolipoamide
C2H6S	C00580	Dimethyl sulfide
C29H42N7O17P3S	C00582	Phenylacetyl-CoA
C5H15NO4P	C00588	Choline phosphate
C2H4O4S	C00593	Sulfoacetaldehyde
C3H7NO4S	C00606	3-Sulfino-L-alanine
C15H10O10S	C00616	Quercetin 3-sulfate
C8H12NO6P	C00627	Pyridoxine phosphate
C25H42N7O17P3S	C00630	2-Methylpropanoyl-CoA
C3H7O7P	C00631	2-Phospho-D-glycerate
C8H13N2O5P	C00647	Pyridoxamine phosphate
C10H13N4O9P	C00655	Xanthosine 5'-phosphate
C20H24N8O6	C00664	5-Formiminotetrahydrofolate
C8H14N2O5S	C00669	gamma-L-Glutamyl-L-cysteine
C8H21NO6P	C00670	sn-Glycero-3-phosphocholine
C10H15N4O15P3	C00700	XTP
C9H15N3O10P2	C00705	dCDP
C6H5N5O	C00715	Pterin
C16H24N2O4	C00732	Ubenimex
C3H7NO3	C00740	D-Serine
C45H75NO17	C00744	Macrocin
C43H66N12O12S2	C00746	Oxytocin
C5H5N	C00747	Pyridine
C42H44FeN4O16	C00748	Siroheme
C20H18NO4	C00757	Berberine
C16H22O8	C00761	Coniferin
C34H63N5O9	C00773	Pepstatin
C14H25N3O15P2	C00789	CDP-ribitol
C3H7NO2S	C00793	D-Cysteine
C2H7N	C00797	Ethylamine
C22H36N7O17P3S	C00798	Formyl-CoA
C3H4N2O4	C00802	Oxalureate
C3H2O2	C00804	Propynoate
C16H34O	C00823	1-Hexadecanol
C18H37N5O10	C00825	Kanamycin B
C10H13NO5	C00826	L-Arogenate
C3H2O5	C00830	Oxomalonate
C11H22N2O4S	C00831	Pantetheine
C18H39NO2	C00836	Sphinganine
C8H18N6O4	C00837	Streptidine
C11H6O4	C00841	Xanthotoxol
C26H38N7O18P3S	C00845	2-Furoyl-CoA
C6H11N3O	C00860	L-Histidinol
C34H44N4O15	C00862	Methanofuran
C9H17NO5	C00864	Pantothenate
C29H36N5O18P	C00876	Coenzyme F420
C21H35N7O13P2S	C00882	Dephospho-CoA
C10H10O6	C00885	Isochorismate
C24H38N7O17P3S	C00894	Propenoyl-CoA
C19H39N5O7	C00908	Gentamicin C1a
C24H22N2	C00915	Benzyl viologen
C5H13NO4S	C00919	Choline sulfate
C31H51N10O22P3S2	C00920	CoA-glutathione
C14H14N6O3	C00921	Dihydropteroate
C10H14N2O4	C00931	Porphobilinogen
C16H24NO5	C00933	Sinapine
C10H14N6O4	C00939	2-Aminoadenosine
C10H11N4O7P	C00943	"3',5'-Cyclic IMP"
C4H10O2S2	C00950	Dithioerythritol
C3H4O3S	C00957	Mercaptopyruvate
C18H12O6	C00961	Sterigmatocystin
C10H12N5O5P	C00968	"3',5'-Cyclic dAMP"
C16H23N5O17P2	C00976	GDP-D-mannuronate
C11H13N3O	C00977	L-Tryptophanamide
C26H21N3O2	C00982	Renilla luciferin
C3H10N2	C00986	"1,3-Diaminopropane"
C2H5O6P	C00988	2-Phosphoglycolate
C5H12N2O	C00990	5-Aminopentanamide
C13H14O8	C00994	D-Prephenyllactate
C35H44N4O16	C01001	Formylmethanofuran
C17H22N4O6	C01007	Reduced riboflavin
C3H9S	C01008	Trimethylsulfonium
C2H4N2O3	C01010	Urea-1-carboxylate
C9H12O2	C01014	3-Isopropylcatechol
C21H41N7O12	C01023	Dihydrostreptomycin
C40H46N4O17	C01024	Hydroxymethylbilane
C9H21N3O	C01029	N8-Acetylspermidine
C11H17N3O7S	C01031	S-Formylglutathione
C5H11N3O2	C01035	4-Guanidinobutanoate
C6H7O6	C01041	Monodehydroascorbate
C5H7NO5	C01044	N-Formyl-L-aspartate
C7H14N2O3	C01047	N5-Ethyl-L-glutamine
C20H31N3O19P2	C01050	UDP-N-acetylmuramate
C9H9I2NO3	C01060	"3,5-Diiodo-L-tyrosine"
C14H19NO6S	C01069	Desulfoglucotropeolin
C6H13NO8S	C01075	N-Sulfo-D-glucosamine
C29H38N5O18P	C01080	Reduced coenzyme F420
C12H18N4O4PS	C01081	Thiamin monophosphate
C23H30N2O5	C01091	Deacetylvindoline
C6H12N3O4P	C01100	L-Histidinol phosphate
C10H13N2O11P	C01103	Orotidine 5'-phosphate
C18H40NO5P	C01120	Sphinganine 1-phosphate
C8H19N6O7P	C01121	Streptidine 6-phosphate
C11H23N2O7PS	C01134	Pantetheine 4'-phosphate
C10H19NO2S2	C01136	S-Acetyldihydrolipoamide
C14H23N6O3S	C01137	S-Adenosylmethioninamine
C3H4O4	C01146	2-Hydroxy-3-oxopropanoate
C7H16NO	C01149	4-Trimethylammoniobutanal
C15H10O13S2	C01156	"Quercetin 3,4'-bissulfate"
C13H16O10	C01158	1-O-Galloyl-beta-D-glucose
C12H21NO4S2	C01169	S-Succinyldihydrolipoamide
C17H27N3O17P2	C01170	UDP-N-acetyl-D-mannosamine
C5H8O3S	C01180	4-Methylthio-2-oxobutanoic acid
C11H15NO9P	C01185	Nicotinate D-ribonucleotide
C19H37O7P	C01192	Palmitoylglycerone phosphate
C21H35N9O15P2	C01201	N(omega)-(ADP-D-ribosyl)-L-arginine
C6H18O24P6	C01204	Phytic acid
C23H36N4O20P2	C01212	UDP-N-acetylmuramoyl-L-alanine
C30H45N6O16P	C01217	"5,6,7,8-Tetrahydromethanopterin"
C15H23N3O15P2	C01219	CDP-4-dehydro-6-deoxy-D-glucose
C10H17N5O17P4	C01228	"Guanosine 3',5'-bis(diphosphate)"
C5H14NO6P	C01233	sn-Glycero-3-phosphoethanolamine
C8H16N2O5	C01239	N-Acetyl-beta-D-glucosaminylamine
C9H6I2O4	C01244	"3,5-Diiodo-4-hydroxyphenylpyruvate"
C6H15O15P3	C01245	"D-myo-Inositol 1,4,5-trisphosphate"
C9H21N2O3	C01259	"3-Hydroxy-N6,N6,N6-trimethyl-L-lysine"
C20H28N10O19P4	C01260	"P1,P4-Bis(5'-adenosyl)tetraphosphate"
C20H28N10O21P4	C01261	"P1,P4-Bis(5'-guanosyl) tetraphosphate"
C6H9N2O5P	C01267	3-(Imidazol-4-yl)-2-oxopropyl phosphate
C9H15N4O9P	C01268	5-Amino-6-(5'-phosphoribosylamino)uracil
C10H13O10P	C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate
C31H45N6O17P	C01274	"5-Formyl-5,6,7,8-tetrahydromethanopterin"
C32H50N7O19P3S	C01291	3-(4-Methylpent-3-en-1-yl)pent-2-enedioyl-CoA
C7H16N3O8P	C01294	1-Guanidino-1-deoxy-scyllo-inositol 4-phosphate
C7H16N4O4	C01298	"1D-1-Guanidino-3-amino-1,3-dideoxy-scyllo-inositol"
C7H9N5O2	C01300	"6-(Hydroxymethyl)-7,8-dihydropterin"
C9H16N5O8P	C01304	"2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one"
C15H18N2O6S	C01313	"(S)-N-[3-(3,4-Methylenedioxyphenyl)-2-(mercaptomethyl)-1-oxoprolyl]glycine"
C24H26N2O7S	C01315	"(S)-N-[3-(3,4-Methylenedioxyphenyl)-2-(acetylthio)methyl-1-oxoprolyl]glycine benzyl ester"
C25H28N2O7S	C01316	"(S)-N-[3-(3,4-Methylenedioxyphenyl)-2-(acetylthio)methyl-1-oxoprolyl]-(S)-alanine benzyl ester"
CHN	C01326	Hydrogen cyanide
C10H14N4O12P2	C01337	XDP
C15H27N5O5	C01341	E-64
C10H14N4O10P2	C01344	dIDP
C10H15N4O13P3	C01345	dITP
C9H14N2O11P2	C01346	dUDP
C10H14N4O11P2	C01347	dXDP
C10H15N4O14P3	C01348	dXTP
C27H35N9O15P2	C01352	FADH2
C14H8N2O8	C01359	PQQH2
C44H69NO12	C01375	Tacrolimus
C8H18	C01387	Octane
C20H40O	C01389	Phytol
C21H31F3O	C01397	Arachidonyltrifluoromethane
C6H6	C01407	Benzene
CHNO	C01417	Cyanate
C8H16N2O7	C01418	Cycasin
C5H10N2O3S	C01419	Cys-Gly
C6H12N2O4S2	C01420	Cystine
C7H6O5	C01424	Gallate
C17H26O10	C01433	Loganin
CH4	C01438	Methane
C12H26N4O6	C01441	Neamine
C29H44O12	C01443	Ouabain
C2H3NO3	C01444	Oxamate
C12H15N5O3	C01449	Queuine
C7H8	C01455	Toluene
C46H77NO17	C01457	Tylosin
C13H18N6O3	C01513	Lupinate
C21H36	C01523	Pregnane
C8H8N2O2	C01526	Ricinine
C20H17FO3S	C01531	Sulindac
C17H24O9	C01533	Syringin
C25H43N13O10	C01540	Viomycin
C5H4O3	C01546	2-Furoate
C2H2	C01548	Acetylene
C12H17N3O4	C01550	Agaritine
C21H38N4O8	C01552	Amastatin
C21H19N3O3S	C01553	Amsacrine
C19H32	C01554	5alpha-Androstane
C21H41N5O11	C01555	Apramycin
C17H23N7O5	C01567	Cytomycin
C14H10O9	C01572	Digallate
C29H32O13	C01576	Etoposide
C3H4N2	C01589	Imidazole
C20H38N6O4	C01591	Leupeptin
C26H34O10	C01593	Limonoate
C4H5NO3	C01596	Maleamate
C9H18O2	C01601	Nonanoic acid
C21H24O10	C01604	Phlorizin
C15H13N3O4S	C01608	Piroxicam
C22H29N7O5	C01610	Puromycin
C5H11NO5S	C01616	Tauropine
C12H15NO3S	C01619	Thiorphan
C16H14F3NO3S	C01621	Tolrestat
C25H32N2O6	C01626	Vindoline
C15H18N2O5	C01632	N-Carbobenzoxyglycylproline
C10H22O	C01633	1-Decanol
C13H17NO4	C01657	Ac-Tyr-OEt
C3H5NO	C01659	Acrylamide
C16H28N2O11	C01674	Chitobiose
C16H26N2O5S	C01675	Cilastatin
C11H16N4O5	C01677	Coformycin
C2H7NS	C01678	Cysteamine
C11H20N4O6	C01682	Nopaline
C10H18N2O6	C01683	Ornaline
C13H8F2O3	C01691	Diflunisal
C10H20N2S4	C01692	Disulfiram
C32H57N5O9	C01700	Globomycin
C12H10N4O2	C01727	Lumichrome
C8H19N	C01740	Octylamine
CHNS	C01755	Thiocyanate
C10H12N4O6	C01762	Xanthosine
C51H82N8O17	C01776	Aculeacin A
C12H15N3O2S	C01779	Albendazole
C6H5Hg	C01783	Arylmercury
C7H8N2	C01784	Benzamidine
C45H74N7O20P3S	C01794	Choloyl-CoA
C11H7N3O2	C01800	Deazaflavin
C14H20N6O2	C01804	Discadenine
C10H16N5O13P3S	C01806	GTP-gamma-S
C17H36	C01816	Heptadecane
C8H8N2	C01819	Indoleamine
C15H11I4NO4	C01829	Thyroxine
C33H58N7O17P3S	C01832	Lauroyl-CoA
C13H23N3O4	C01833	Leu-Gly-Pro
C18H36O	C01838	Octadecanal
C23H36O7	C01844	Pravastatin
C17H23N4O9P	C01847	Reduced FMN
C39H49NO14	C01848	Rifamycin B
C39H47NO14	C01849	Rifamycin O
C2H4OS	C01857	Thioacetate
C19H12F3N3O3S	C01865	Zopolrestat
C6H5IO	C01874	2-Iodophenol
C11H22O	C01875	2-Undecanone
C4H6O2S2	C01892	Asparagusate
C10H17N3O2S	C01893	Biotin amide
C31H50N9O18P3S2	C01894	Biotinyl-CoA
C55H84N20O21S2	C01895	Bleomycin B2
C20H16N2O4	C01897	Camptothecin
C5H12O5	C01904	D-Arabitol
C27H29NO10	C01907	Daunorubicin
C10H18N2O3	C01909	Dethiobiotin
C37H67NO13	C01912	Erythromycin
C6FeN6	C01913	Ferrocyanide
C18H36N4O10	C01917	Gentamicin A
C26H43NO6	C01921	Glycocholate
C20H37N3O13	C01925	Hygromycin B
C6H9N3O	C01929	L-Histidinal
C6H15N3O	C01930	L-Lysinamide
C20H22N8O5	C01937	Methotrexate
C30H52N7O17P3S	C01942	Nonanoyl-CoA
C29H50N7O17P3S	C01944	Octanoyl-CoA
C44H68O13	C01945	Okadaic acid
C35H61NO12	C01946	Oleandomycin
C15H30O	C01948	Pentadecanal
C5H5N3O	C01956	Pyrazinamide
C3H9N3O3S	C01959	Taurocyamine
C8H19N4O6P	C01961	Thalassemine
C3H7NO2S2	C01962	Thiocysteine
C20H13N3O8	C01969	Xanthommatin
C6H6O8	C01990	3-Oxalomalate
C10H10N4O5	C01993	5'-Oxoinosine
C7H16NO2	C01996	Acetylcholine
C3H3N	C01998	Acrylonitrile
C17H12O5	C02006	Aspulvinone E
C27H28O5	C02008	Aspulvinone H
C7H6N2	C02009	Benzimidazole
C17H26N8O5	C02010	Blasticidin S
C42H70N14O32P6S2	C02015	CoA-disulfide
C5H3N3	C02018	Cyanopyrazine
C4H7N3	C02026	Deoxycytosine
C10H15N5O	C02029	Dihydrozeatin
C36H58N7O17P3S	C02030	Farnesoyl-CoA
C31H46O2	C02059	Phylloquinone
C41H74N7O17P3S	C02060	Phytanoyl-CoA
C27H32N2O8	C02074	Raucaffricine
CH5N3O	C02077	Semicarbazide
C14H24N2O7	C02078	Spectinomycin
C28H26N4O3	C02079	Staurosporine
C9H4O6	C02080	Stipitatonate
C25H22N4O8	C02081	Streptonigrin
C2H4O2S	C02086	Thioglycolate
C27H49N9O10S2	C02090	Trypanothione
C16H26N2O16P2	C02097	dTDP-galactose
C4H6O6	C02107	"(S,S)-Tartaric acid"
C20H38O3	C02117	2-Oxophytanate
C14H24O12	C02130	Acetyl-maltose
C7H16N4O	C02131	Acetylagmatine
C50H71N13O12	C02135	Angiotensin II
C15H19N3O7	C02138	Boc-Asn-OPhNO2
C8H16O2S2	C02147	Dihydrolipoate
C4H4O4	C02150	Formylpyruvate
C14H19NO9S2	C02153	Glucotropaeolin
C12H8N2O2	C02161	2-Aminophenoxazin-3-one
C30H47N3O9S	C02166	Leukotriene C4
C13H18O2	C02185	Plastoquinol-1
C34H34N4O4	C02191	Protoporphyrin
C17H28O4S	C02195	Steryl sulfate
C15H24N2O16P2	C02199	UDP-L-rhamnose
C25H28N4O	C02202	Z-Phe-Phe-CHN2
C23H29N3O6	C02203	Z-Tyr-Leu-NHOH
C6H16NO	C02224	2-Methylcholine
C3H3NO4	C02231	3-Nitroacrylate
C27H42N7O20P3S	C02232	3-Oxoadipyl-CoA
C6H4N2	C02234	4-Cyanopyridine
C7H6O5S	C02236	4-Sulfobenzoate
C6H7N5O	C02242	7-Methylguanine
C11H14N4O5	C02243	8-Oxocoformycin
C28H41N8O17P3S	C02247	Anthraniloyl-CoA
C12H18N4O	C02253	Benzoylagmatine
C11H16N4O4	C02267	Deoxycoformycin
C4H10S	C02272	Diethyl sulfide
C12H26O	C02277	1-Dodecanol
C12H24O	C02278	Dodecylaldehyde
C42H62O16	C02284	Glycyrrhizinate
C3H4O5	C02287	Hydroxymalonate
C2H7N3	C02294	Methylguanidine
C4H10N3O5P	C02305	Phosphocreatine
C15H22N2O18P2	C02330	UDP-L-iduronate
C9H10N4O4	C02333	Xanthopterin-B2
C30H39N9O6	C02334	Z-Arg-Arg-NHMec
C24H41N8O17P3S	C02335	beta-Alanyl-CoA
C4H6N4O3	C02350	(S)-Allantoin
C6H4O2	C02351	o-Benzoquinone
C9H12N3O7P	C02354	"2',3'-Cyclic CMP"
C9H11N2O8P	C02355	"2',3'-Cyclic UMP"
C12H22O3	C02367	3-Oxododecanoic acid
C7H5FO2	C02371	4-Fluorobenzoate
C5H7N3O	C02376	5-Methylcytosine
C5H4N4S	C02380	6-Mercaptopurine
C6H14N4O2	C02385	Amino acid(Arg-)
C44H73NO17	C02400	Demethylmacrocin
C3H9N3O2S	C02419	Hypotaurocyamine
C6H6N2O	C02421	Isonicotineamide
C3H6O3	C02426	L-Glyceraldehyde
C7H15N3O3	C02427	L-Homocitrulline
C42H48N4O16	C02463	Precorrin 2
C13H23N3O5	C02487	(Ac)2-L-Lys-D-Ala
C6H4N2O5	C02496	"2,4-Dinitrophenol"
C5H5NO	C02502	2-Hydroxypyridine
C10H12N5O6P	C02507	"3',5'-Cyclic dGMP"
C9H10INO3	C02515	3-Iodo-L-tyrosine
C12H15N2O4	C02517	3-Oxohexobarbital
C3H8NO6P	C02532	O-Phospho-D-serine
C2H6Se	C02535	Dimethyl selenide
C18H22O5S	C02538	Estrone 3-sulfate
C26H21N3O5S	C02555	Luciferyl sulfate
C25H40N7O19P3S	C02557	Methylmalonyl-CoA
C12H13NO5	C02564	N-Feruloylglycine
C12H28N4O	C02567	N1-Acetylspermine
C9H18NO4	C02571	O-Acetylcarnitine
C17H20O9	C02572	5-O-Feruloylquinic acid
C25H44N13O13P	C02574	O-Phosphoviomycin
C8H18N4O	C02581	Propanoylagmatine
C9H11N5O2	C02587	Pyrimidodiazepine
C18H24O4S	C02590	Steroid O-sulfate
C26H45NO5S	C02592	Taurolithocholate
C35H62N7O17P3S	C02593	Tetradecanoyl-CoA
C6H6O2S	C02595	Thien-2-ylacetate
C33H44N7O19P3S	C02611	"(E,E)-Piperoyl-CoA"
C8H18N6O3	C02628	2-Deoxystreptidine
C7H14NO3	C02636	3-Dehydrocarnitine
C5H13N	C02640	3-Methylbutanamine
C8H14O7	C02655	6-Acetyl-D-glucose
C4H7NO	C02659	Acetone cyanohydrin
C2H6Te	C02677	Dimethyl telluride
C12H24O2	C02679	Dodecanoic acid
C43H74O7	C02681	Ecdysone palmitate
C11H13N4	C02691	Heteropyrithiamine
C3H7NO6S	C02703	L-Serine O-sulfate
CH4O4S	C02704	Monomethyl sulfate
C7H13NO3S	C02712	N-Acetylmethionine
C11H19NO8	C02713	N-Acetylmuramate
C7H15NO	C02722	N-Methylhexanamide
C5H14N2	C02723	N-Methylputrescine
C6H8N	C02724	N-Methylpyridinium
C25H48N6O14	C02725	N3'-Acetylneomycin
C5H15N4O3P	C02726	Phosphoagmatine
C7H16N2O2	C02728	N6-Methyl-L-lysine
C6H7O4P	C02734	Phenolic phosphate
C15H25N5O20P4	C02739	1-(5-Phospho-D-ribosyl)-ATP
C11H8N2O3S2	C02740	Photinus luciferin
C15H23N5O14P2	C02741	Phosphoribosyl-AMP
C24H47NO10S	C02744	Psychosine sulfate
C14H14O9	C02750	Sinapoyltartronate
C3H6N2O4	C02766	(R)-Ureidoglycolate
C15H13NO	C02778	2-Acetamidofluorene
C5H6O4	C02800	"4,5-Dioxopentanoate"
C28H39FN7O17P3S	C02802	4-Fluorobenzoyl-CoA
C12H6O2	C02807	Acenaphthenequinone
C19H28N8O6	C02808	Acetylblasticidin S
C22H22N2O7	C02811	Anhydrotetracycline
C6H8O9S	C02812	Ascorbate 2-sulfate
C21H30O8S	C02822	Cortisol 21-sulfate
C6H13NO3S	C02824	Cyclohexylsulfamate
C22H27N7O	C02825	Cypridina luciferin
C5H6N2O2	C02835	Imidazole-4-acetate
C15H29NO4	C02838	L-Octanoylcarnitine
C23H43N5O12	C02856	N3'-Acetylapramycin
C21H27N7O5	C02864	O-Demethylpuromycin
C30H28O11	C02879	Protoaphin aglucone
C5H13O14P3	C02884	Ribose triphosphate
C16H29N3O6S	C02886	S-Hexyl-glutathione
C12H15N4O2S	C02892	Thiamine acetic acid
C26H21N3O9S2	C02894	Watasenia luciferin
C20H22N2O3	C02899	beta-Cyclopiazonate
C21H24NO4	C02915	(S)-cis-N-Methylcanadine
C3H8O2	C02917	"(S)-Propane-1,2-diol"
C17H22O10	C02919	4-O-beta-D-Glucosyl-sinapate
C3H8OS2	C02924	Dimercaprol
C15H14O10	C02927	2-Caffeoylisocitrate
C10H8N2	C02938	3-Indoleacetonitrile
C19H28O	C02941	3-Oxo-Delta1-steroid
C30H44O4	C02943	3-Oxoglycyrrhetinate
C12H8O5	C02951	5-Hydroxyxanthotoxin
C11H14N4O4	C02957	8-Oxodeoxycoformycin
C50H83O4P	C02970	Decaprenol phosphate
C14H8O3	C02980	Hydroxyanthraquinone
C20H40O3	C02982	L-2-Hydroxyphytanate
C23H45NO4	C02990	L-Palmitoylcarnitine
C15H23N5O4	C02993	Kyotorphin
C14H24N2O9	C02999	N-Acetylmuramoyl-Ala
C12H16NO7	C03003	N-Glucosylnicotinate
C20H39N5O10	C03010	N3'-Acetyltobramycin
C10H19NO4	C03017	O-Propanoylcarnitine
C12H20N4O10P3S	C03028	Thiamin triphosphate
C5H4N2O4	C03030	Uracil 5-carboxylate
C9H13N2O9P	C03031	Uridine 2'-phosphate
C20H20N2O3	C03032	Cyclopiazonic acid
C6H16N6	C03047	Arcaine
C15H16O11	C03062	2-O-Caffeoylglucarate
C4H9N3O2	C03065	3-Guanidinopropanoate
C12H16N2O4	C03068	3-Hydroxyhexobarbital
C5H12N4O	C03078	4-Guanidinobutanamide
C6H12O4S	C03089	5-Methylthio-D-ribose
C5H12NO7P	C03090	5-Phosphoribosylamine
C8H7NS	C03098	Benzyl isothiocyanate
C24H47NO7	C03108	D-Glucosylsphingosine
C14H19N3O7S	C03112	Deacetylcephalosporin C
C6H15O4P	C03113	Diisopropyl phosphate
C15H29O10P3	C03115	Farnesyl triphosphate
C6H10O10S	C03126	L-Iduronate 2-sulfate
C5H9N3O4	C03139	N-Amidino-L-aspartate
C6H11N3O4	C03140	N-Amidino-L-glutamate
C12H17NO5	C03142	N-D-Glucosylarylamine
C3H10N3O6PS	C03149	N-Phosphotaurocyamine
C11H15N2O5	C03150	Nicotinamide-beta-riboside
C20H39N5O11	C03154	N6'-Acetylkanamycin-B
C16H18O11	C03156	O-Feruloylgalactarate
C3H8N3O5P	C03166	Phosphoguanidinoacetate
C2H5O4P	C03167	Phosphonoacetaldehyde
C9H13N2O4	C03169	Pyrimidine nucleoside
C27H47N9O10S2	C03170	Trypanothione disulfide
C6H14NO2S	C03172	S-Methyl-L-methionine
C3H6O2S	C03173	S-Methylthioglycolate
C14H21N3O9S	C03174	S-Succinylglutathione
C28H39N5O8	C03183	Z-Gly-Pro-Leu-Gly-Pro
C34H32N4O4Zn	C03184	Zinc protoporphyrin-9
C3H9O6P	C03189	DL-Glycerol 1-phosphate
C18H36O3	C03195	(R)-10-Hydroxystearate
C23H44O5	C03199	"1,2-Didecanoylglycerol"
C20H21N7O7	C03204	10-Formyldihydrofolate
C6H4N4O2	C03212	"2,4-Dihydroxypteridine"
C11H16N6O4	C03218	2-Methylaminoadenosine
C33H56N7O17P3S	C03221	2-trans-Dodecenoyl-CoA
C9H9N3O7	C03225	"3,5-Dinitro-L-tyrosine"
C6H10O2	C03228	3-Hydroxycyclohexanone
C3H5O7P	C03232	3-Phosphonooxypyruvate
C8H6O6	C03233	"4,5-Dihydroxyphthalate"
C21H38O6	C03240	6-Deoxyerythronolide B
C15H24N5O17P3	C03246	ADPribose 2'-phosphate
C4H2O4	C03248	Acetylenedicarboxylate
C24H29NO4	C03256	Cetraxate benzyl ester
C6H15O8P	C03274	Glycerophosphoglycerol
C11H12N4O7	C03280	Inosine-5'-carboxylate
C18H37N4O14P	C03281	Kanamycin A 3'-phosphate
C17H24N2O4S	C03292	Mercaptoacetyl-Phe-Leu
C10H18N4O5	C03296	N2-Succinyl-L-arginine
C7H11N3O2	C03298	Nalpha-Methylhistidine
C17H33NO4	C03299	O-Decanoyl-L-carnitine
C6H5NS	C03311	Thien-2-ylacetonitrile
C10H13N4O10P	C03312	Urate D-ribonucleotide
C31H48O2	C03313	Phylloquinol
C6H4N4O4	C03314	Xanthine-8-carboxylate
C16H28N4O6	C03326	(Ac)2-L-Lys-D-Ala-D-Ala
C3H8O10P2	C03339	"2,3-Bisphosphoglycerate"
C26H42N7O18P3S	C03344	2-Methylacetoacetyl-CoA
C3H9NO3S	C03349	3-Aminopropanesulfonate
C4H11NS	C03354	3-Methylthiopropanamine
